AVT.US	Technology	Electronics & Computer Distribution
AD.NV	Consumer Defensive	Grocery Stores
ARCAD.NV	Industrials	Engineering & Construction
ASRNL.NV	Financial Services	Insurance - Diversified
BNJ.NV	Communication Services	Entertainment
CSG.NV	Industrials	Aerospace & Defense
AKZA.NV	Basic Materials	Specialty Chemicals
BAMNB.NV	Industrials	Engineering & Construction
DSFIR.NV	Basic Materials	Specialty Chemicals
INPST.NV	Industrials	Integrated Freight & Logistics
HEIA.NV	Consumer Defensive	Beverages - Brewers
HOLCO.NV	Basic Materials	Specialty Chemicals
MICC.NV	Consumer Defensive	Packaged Foods
KPN.NV	Communication Services	Telecom Services
FUR.NV	Energy	Oil & Gas Equipment & Services
NAI.NV	Real Estate	Real Estate Services
NN.NV	Financial Services	Insurance - Diversified
NXFIL.NV	Industrials	Pollution & Treatment Controls
PHARM.NV	Healthcare	Biotechnology
TOM2.NV	Technology	Software - Application
PRX.NV	Consumer Cyclical	Internet Retail
REN.NV	Industrials	Specialty Business Services
UNA.NV	Consumer Defensive	Household & Personal Products
SLIGR.NV	Consumer Defensive	Food Distribution
BANF	Financial Services	Banks - Regional
BBIO	Healthcare	Biotechnology
BCIC	Financial Services	Asset Management
BCRX	Healthcare	Drug Manufacturers - Specialty & Generic
VPK.NV	Energy	Oil & Gas Midstream
BEAM	Healthcare	Biotechnology
WKL.NV	Industrials	Specialty Business Services
BETR	Financial Services	Mortgage Finance
BGC	Financial Services	Capital Markets
BIDU	Communication Services	Internet Content & Information
BJRI	Consumer Cyclical	Restaurants
BKYI	Industrials	Security & Protection Services
BLDP	Industrials	Electrical Equipment & Parts
BLLN	Healthcare	Diagnostics & Research
BLTE	Healthcare	Biotechnology
BMEA	Healthcare	Biotechnology
BNGO	Healthcare	Medical Instruments & Supplies
BRZE	Technology	Software - Application
BRCB	Consumer Cyclical	Restaurants
BTBT	Financial Services	Capital Markets
BOOM	Industrials	Conglomerates
BTSG	Healthcare	Health Information Services
BVS	Healthcare	Medical Devices
BWMN	Industrials	Engineering & Construction
BZUN	Consumer Cyclical	Internet Retail
ACCB.BR	Real Estate	Real Estate Services
AGFB.BR	Industrials	Specialty Industrial Machinery
BEKB.BR	Industrials	Metal Fabrication
BANI.BR	Real Estate	Real Estate - Development
ASCE.BR	Real Estate	REIT - Retail
BPOST.BR	Industrials	Integrated Freight & Logistics
CENER.BR	Industrials	Electrical Equipment & Parts
DEME.BR	Industrials	Engineering & Construction
EKOP.BR	Utilities	Utilities - Regulated Water
COMB.BR	Consumer Defensive	Confectioners
FAGR.BR	Healthcare	Drug Manufacturers - Specialty & Generic
HYSG.BR	Technology	Software - Application
GIMB.BR	Financial Services	Asset Management
IMMO.BR	Real Estate	Real Estate - Development
KBC.BR	Financial Services	Banks - Regional
ONTEX.BR	Consumer Defensive	Household & Personal Products
NEXTA.BR	Real Estate	REIT - Diversified
PROX.BR	Communication Services	Telecom Services
RECT.BR	Industrials	Building Products & Equipment
LOTB.BR	Consumer Defensive	Packaged Foods
SHUR.BR	Real Estate	REIT - Specialty
SOLB.BR	Basic Materials	Chemicals
TEXF.BR	Real Estate	Real Estate Services
TUB.BR	Healthcare	Biotechnology
VAN.BR	Consumer Cyclical	Apparel Manufacturing
CAE	Industrials	Aerospace & Defense
CABA	Healthcare	Biotechnology
WEHB.BR	Real Estate	REIT - Retail
VIO.BR	Industrials	Metal Fabrication
CALM	Consumer Defensive	Farm Products
CAPR	Healthcare	Biotechnology
CARG	Communication Services	Internet Content & Information
CBUS	Healthcare	Biotechnology
CASS	Industrials	Specialty Business Services
CBRL	Consumer Cyclical	Restaurants
CCBG	Financial Services	Banks - Regional
CCNE	Financial Services	Banks - Regional
CDLX	Communication Services	Advertising Agencies
CDW	Technology	Information Technology Services
CECO	Industrials	Pollution & Treatment Controls
CELH	Consumer Defensive	Beverages - Non-Alcoholic
CERT	Healthcare	Health Information Services
CG	Financial Services	Asset Management
CGEM	Healthcare	Biotechnology
CHDN	Consumer Cyclical	Gambling
CGON	Healthcare	Biotechnology
CHRD	Energy	Oil & Gas E&P
CIGI	Real Estate	Real Estate Services
CHTR	Communication Services	Telecom Services
CLBK	Financial Services	Banks - Regional
CLFD	Technology	Communication Equipment
CLMT	Basic Materials	Specialty Chemicals
CLPT	Healthcare	Medical Devices
CMPS	Healthcare	Medical Care Facilities
CNDT	Technology	Information Technology Services
CMCSA	Communication Services	Telecom Services
CNXC	Technology	Information Technology Services
COCP	Healthcare	Biotechnology
COHU	Technology	Semiconductor Equipment & Materials
COLL	Healthcare	Drug Manufacturers - Specialty & Generic
CORT	Healthcare	Biotechnology
CRDF	Healthcare	Biotechnology
CRNT	Technology	Communication Equipment
CROX	Consumer Cyclical	Footwear & Accessories
CRTO	Communication Services	Advertising Agencies
CRMD	Healthcare	Biotechnology
CRWV	Technology	Software - Infrastructure
CPB	Consumer Defensive	Packaged Foods
CSIQ	Technology	Solar
CTKB	Healthcare	Medical Devices
CVGI	Consumer Cyclical	Auto Parts
CSX	Industrials	Railroads
CTSH	Technology	Information Technology Services
CWST	Industrials	Waste Management
CYRX	Industrials	Integrated Freight & Logistics
CBOE	Financial Services	Financial Data & Stock Exchanges
BAVA.CO	Healthcare	Biotechnology
ALSYDB.CO	Financial Services	Banks - Regional
COLO-B.CO	Healthcare	Medical Instruments & Supplies
DFDS.CO	Industrials	Marine Shipping
DSV.CO	Industrials	Integrated Freight & Logistics
FYNBK.CO	Financial Services	Banks - Regional
HUSCO.CO	Consumer Cyclical	Residential Construction
CRBP	Healthcare	Biotechnology
JYSK.CO	Financial Services	Banks - Regional
LASP.CO	Financial Services	Banks - Regional
MAERSKB.CO	Industrials	Marine Shipping
MTHH.CO	Industrials	Engineering & Construction
NNIT.CO	Technology	Information Technology Services
PRIMOF.CO	Real Estate	Real Estate - Development
NSIS-B.CO	Basic Materials	Specialty Chemicals
CARLB.CO	Consumer Defensive	Beverages - Brewers
PAALb.CO	Industrials	Engineering & Construction
FLS.CO	Industrials	Specialty Industrial Machinery
SJF.CO	Financial Services	Banks - Regional
GRLA.CO	Financial Services	Banks - Regional
ROCKB.CO	Industrials	Building Products & Equipment
TIV.CO	Consumer Cyclical	Leisure
HARBb.CO	Consumer Defensive	Beverages - Brewers
DAVE	Technology	Software - Application
TRYG.CO	Financial Services	Insurance - Diversified
ZEAL.CO	Healthcare	Biotechnology
DCTH	Healthcare	Medical Devices
DGICA	Financial Services	Insurance - Property & Casualty
DLO	Technology	Software - Infrastructure
DMRC	Technology	Software - Application
DFDV	Financial Services	Asset Management
DNUT	Consumer Defensive	Grocery Stores
DOO	Consumer Cyclical	Recreational Vehicles
DOYU	Communication Services	Internet Content & Information
DRS	Industrials	Aerospace & Defense
DSGR	Industrials	Industrial Distribution
DXPE	Industrials	Industrial Distribution
DUOL	Technology	Software - Application
AJMANBANK.AE	Financial Services	Banks - Regional
DEWA.AE	Utilities	Utilities - Diversified
AMLAK.AE	Financial Services	Mortgage Finance
DIB.AE	Financial Services	Banks - Regional
EMAARDEV.AE	Real Estate	Real Estate - Development
DTC.AE	Industrials	Railroads
ERC.AE	Consumer Defensive	Beverages - Non-Alcoholic
SALIK.AE	Industrials	Infrastructure Operations
TAALEEM.AE	Consumer Defensive	Education & Training Services
UPP.AE	Industrials	Conglomerates
ELMT	Industrials	Aerospace & Defense
EH	Industrials	Aerospace & Defense
EEFT	Technology	Software - Infrastructure
ENGN	Healthcare	Biotechnology
ENVX	Industrials	Electrical Equipment & Parts
ENSG	Healthcare	Medical Care Facilities
EQPT	Industrials	Rental & Leasing Services
ESEA	Industrials	Marine Shipping
ESTA	Healthcare	Medical Devices
EVCM	Technology	Software - Application
EXEL	Healthcare	Biotechnology
EWBC	Financial Services	Banks - Regional
EYE	Consumer Cyclical	Specialty Retail
FA	Industrials	Specialty Business Services
FATE	Healthcare	Biotechnology
EXPE	Consumer Cyclical	Travel Services
FCFS	Financial Services	Credit Services
DHC	Real Estate	REIT - Healthcare Facilities
FDUS	Financial Services	Asset Management
FFIN	Financial Services	Banks - Regional
FIVE	Consumer Cyclical	Specialty Retail
FIBK	Financial Services	Banks - Regional
FLD	Financial Services	Capital Markets
FISI	Financial Services	Banks - Regional
FLY	Industrials	Aerospace & Defense
FLL	Consumer Cyclical	Resorts & Casinos
FOSL	Consumer Cyclical	Footwear & Accessories
FRMI	Real Estate	REIT - Specialty
FMNB	Financial Services	Banks - Regional
FRVO	Utilities	Utilities - Renewable
FRPT	Consumer Defensive	Packaged Foods
FOXF	Consumer Cyclical	Auto Parts
FSLY	Technology	Software - Application
ECHO	Communication Services	Telecom Services
FTNT	Technology	Software - Infrastructure
FUTU	Financial Services	Capital Markets
FWONK	Communication Services	Entertainment
0B2.DE	Financial Services	Banks - Regional
1SXP.DE	Healthcare	Medical Instruments & Supplies
3SQ1.DE	Utilities	Utilities - Independent Power Producers
2HRA.DE	Basic Materials	Specialty Chemicals
8TRA.DE	Industrials	Farm & Heavy Construction Machinery
AAQ1.DE	Healthcare	Medical Devices
ABX.DE	Technology	Software - Application
AAD.DE	Industrials	Staffing & Employment Services
ACX.DE	Consumer Cyclical	Gambling
AEIN.DE	Technology	Information Technology Services
ADN1.DE	Technology	Information Technology Services
AMV0.DE	Consumer Cyclical	Auto Parts
ALG.DE	Financial Services	Credit Services
APM.DE	Communication Services	Advertising Agencies
BC8.DE	Technology	Information Technology Services
AMD.EUR	Technology	Semiconductors
BEZ.DE	Consumer Defensive	Beverages - Wineries & Distilleries
BIKE.DE	Consumer Cyclical	Internet Retail
BOSS.DE	Consumer Cyclical	Apparel Manufacturing
AVGO.EUR	Technology	Semiconductors
BXT.DE	Healthcare	Drug Manufacturers - Specialty & Generic
BMW.DE	Consumer Cyclical	Auto Manufacturers
BST.DE	Communication Services	Publishing
C1V0.DE	Communication Services	Telecom Services
CAP.DE		
CDZ0.DE	Consumer Cyclical	Lodging
CEK.DE	Technology	Communication Equipment
CLIQ.DE	Communication Services	Entertainment
CYR.DE	Technology	Software - Infrastructure
DAR.DE	Industrials	Specialty Industrial Machinery
DBK.DE	Financial Services	Banks - Regional
DEX.DE	Consumer Cyclical	Auto Parts
CSH.DE	Technology	Software - Application
DIE.DE	Consumer Cyclical	Textile Manufacturing
DMP.DE	Healthcare	Drug Manufacturers - Specialty & Generic
DP4A.DE	Industrials	Marine Shipping
DTD2.DE	Technology	Software - Application
DUE.DE	Industrials	Specialty Industrial Machinery
E4C.DE	Communication Services	Telecom Services
ECK.DE	Consumer Cyclical	Department Stores
EFF0.DE	Financial Services	Asset Management
EBK.DE	Utilities	Utilities - Diversified
ELB.DE	Consumer Cyclical	Luxury Goods
ENR.DE	Industrials	Specialty Industrial Machinery
ETG.DE	Utilities	Utilities - Renewable
EVT.DE	Healthcare	Drug Manufacturers - Specialty & Generic
FC9.DE	Real Estate	Real Estate Services
FIE.DE	Healthcare	Medical Instruments & Supplies
FYB.DE	Healthcare	Biotechnology
FPE.DE	Basic Materials	Specialty Chemicals
FRE.DE	Healthcare	Medical Care Facilities
GLJ.DE	Financial Services	Credit Services
GBF.DE	Industrials	Engineering & Construction
GXI.DE	Healthcare	Medical Instruments & Supplies
H9W.DE	Consumer Cyclical	Auto Parts
HFG.DE	Consumer Defensive	Grocery Stores
HAW.DE	Consumer Defensive	Beverages - Wineries & Distilleries
HEI.DE	Basic Materials	Building Materials
GOOG.EUR	Communication Services	Internet Content & Information
HLAG.DE	Industrials	Marine Shipping
HMU.DE	Energy	Thermal Coal
HOT.DE	Industrials	Engineering & Construction
HRPK.DE	Technology	Solar
ILM1.DE	Healthcare	Medical Distribution
IBU.DE	Basic Materials	Chemicals
ISHA.DE	Technology	Software - Application
IOS.DE	Technology	Information Technology Services
IVU.DE	Technology	Software - Application
JEN.DE	Technology	Electronic Components
KCO.DE	Basic Materials	Steel
JY0.DE	Technology	Computer Hardware
KWS.DE	Basic Materials	Agricultural Inputs
KSB.DE	Industrials	Specialty Industrial Machinery
KTA.DE	Consumer Cyclical	Recreational Vehicles
LIN.DE		
LSX.DE	Communication Services	Telecom Services
M12.DE	Healthcare	Medical Distribution
M5S.DE	Financial Services	Asset Management
MA10.DE	Technology	Software - Application
MBG.DE	Consumer Cyclical	Auto Manufacturers
MLL.DE	Industrials	Integrated Freight & Logistics
MRK.DE	Healthcare	Drug Manufacturers - Specialty & Generic
MUM.DE	Technology	Software - Application
MVV1.DE	Utilities	Utilities - Diversified
NA9.DE	Technology	Information Technology Services
NCH2.DE	Industrials	Specialty Industrial Machinery
NEM.DE	Technology	Software - Application
NN6.DE	Healthcare	Diagnostics & Research
NUVA.DE	Real Estate	Real Estate - Development
MSFT.EUR	Technology	Software - Infrastructure
O4B.DE	Financial Services	Capital Markets
P4O.DE	Technology	Scientific & Technical Instruments
PAT.DE	Real Estate	Real Estate Services
OEWA.DE	Utilities	Utilities - Renewable
PFV.DE	Industrials	Specialty Industrial Machinery
PNE3.DE	Utilities	Utilities - Renewable
PYR.DE	Industrials	Pollution & Treatment Controls
PSM.DE	Communication Services	Broadcasting
QBY0.DE	Technology	Information Technology Services
R3NK.DE	Industrials	Aerospace & Defense
RCMN.DE	Real Estate	Real Estate - Development
RRTL.DE	Communication Services	Broadcasting
S6P.DE		
RWE.DE	Utilities	Utilities - Diversified
SBS.DE	Healthcare	Medical Devices
SGL.DE	Basic Materials	Chemicals
SDF.DE	Basic Materials	Agricultural Inputs
SIE.DE	Industrials	Specialty Industrial Machinery
SIX3.DE	Industrials	Rental & Leasing Services
SLL.DE	Energy	Oil & Gas Equipment & Services
SMWN.DE	Real Estate	REIT - Diversified
SRAG.DE	Financial Services	Asset Management
STM.DE	Industrials	Specialty Industrial Machinery
SVE.DE	Financial Services	Asset Management
SYT.DE	Technology	Information Technology Services
SZU.DE	Consumer Defensive	Packaged Foods
TGTA.DE	Communication Services	Telecom Services
TMV.DE	Technology	Software - Application
TKMS.DE	Industrials	Aerospace & Defense
TPG0.DE	Technology	Software - Application
TTO.DE		
UBK.DE	Financial Services	Banks - Regional
UN0.DE	Utilities	Utilities - Regulated Gas
V6C.DE	Technology	Scientific & Technical Instruments
VG80.DE	Financial Services	Banks - Regional
VIH1.DE	Real Estate	Real Estate Services
VRL.DE	Technology	Software - Application
UZU.DE	Basic Materials	Specialty Chemicals
VOS.DE	Industrials	Railroads
WAF.DE	Technology	Semiconductors
VVV3.DE	Financial Services	Financial Conglomerates
WIB.DE	Basic Materials	Building Materials
YOC.DE	Communication Services	Advertising Agencies
WUW.DE	Financial Services	Insurance - Life
GCT	Technology	Software - Infrastructure
ZIL2.DE	Consumer Cyclical	Auto Parts
GDS	Technology	Information Technology Services
GASS	Industrials	Marine Shipping
GEMI	Financial Services	Capital Markets
GENK	Consumer Cyclical	Restaurants
GEVO	Basic Materials	Specialty Chemicals
GIX	Financial Services	Shell Companies
GGR	Consumer Cyclical	Auto Manufacturers
GIII	Consumer Cyclical	Apparel Manufacturing
GLIBA	Communication Services	Telecom Services
GLOO	Technology	Software - Application
GLUE	Healthcare	Biotechnology
GOGO	Communication Services	Telecom Services
GPGI	Industrials	Metal Fabrication
GNLX	Healthcare	Biotechnology
GRSD	Consumer Cyclical	Gambling
GRAB	Technology	Software - Application
GSAT	Communication Services	Telecom Services
GRMN	Technology	Scientific & Technical Instruments
HALO	Healthcare	Biotechnology
GYRE	Healthcare	Biotechnology
HCAT	Healthcare	Health Information Services
HCSG	Healthcare	Medical Care Facilities
HEPS	Consumer Cyclical	Internet Retail
HIMX	Technology	Semiconductors
HNRG	Utilities	Utilities - Independent Power Producers
HLMN	Industrials	Tools & Accessories
HOWL	Healthcare	Biotechnology
HOLO	Technology	Software - Application
HOOD	Financial Services	Capital Markets
HQ	Technology	Software - Infrastructure
HROW	Healthcare	Drug Manufacturers - Specialty & Generic
HSAI	Consumer Cyclical	Auto Parts
HTHT	Consumer Cyclical	Lodging
HUT	Financial Services	Capital Markets
HUBG	Industrials	Integrated Freight & Logistics
HST	Real Estate	REIT - Hotel & Motel
HWKN	Basic Materials	Specialty Chemicals
GOOGL	Communication Services	Internet Content & Information
CANATU.HE	Basic Materials	Specialty Chemicals
ASPO.HE	Industrials	Conglomerates
GTLB	Technology	Software - Infrastructure
DETEC.HE	Technology	Scientific & Technical Instruments
ELISA.HE	Communication Services	Telecom Services
HBAN	Financial Services	Banks - Regional
FORTUM.HE	Utilities	Utilities - Renewable
HEALTH.HE	Healthcare	Health Information Services
ETTE.HE	Industrials	Engineering & Construction
KALMAR.HE	Industrials	Farm & Heavy Construction Machinery
HUH1V.HE	Consumer Cyclical	Packaging & Containers
KEMPOWR.HE	Industrials	Electrical Equipment & Parts
KNEBV.HE	Industrials	Specialty Industrial Machinery
LEMON.HE	Technology	Software - Application
MANTA.HE	Financial Services	Financial Conglomerates
METSO.HE	Industrials	Farm & Heavy Construction Machinery
ORNBV.HE	Healthcare	Drug Manufacturers - General
OLVAS.HE	Consumer Defensive	Beverages - Brewers
PIHLIS.HE	Healthcare	Medical Care Facilities
RELAIS.HE	Consumer Cyclical	Auto Parts
RAIVV.HE	Consumer Defensive	Packaged Foods
SFOODS.HE	Basic Materials	Specialty Chemicals
SANOMA.HE	Consumer Defensive	Education & Training Services
SSH1V.HE	Technology	Software - Infrastructure
AKTIA.HE	Financial Services	Banks - Regional
TOKMAN.HE	Consumer Defensive	Discount Stores
SUY1V.HE	Consumer Defensive	Household & Personal Products
UNITED.HE	Financial Services	Asset Management
GSIT	Technology	Semiconductors
VALMT.HE	Industrials	Specialty Industrial Machinery
WRT1V.HE	Industrials	Specialty Industrial Machinery
GOFORE.HE	Technology	Information Technology Services
00002.HK	Utilities	Utilities - Regulated Electric
00017.HK	Real Estate	Real Estate - Diversified
00241.HK	Healthcare	Pharmaceutical Retailers
00880.HK	Consumer Cyclical	Resorts & Casinos
00285.HK	Technology	Electronic Components
00388.HK	Financial Services	Financial Data & Stock Exchanges
01055.HK	Industrials	Airlines
01211.HK	Consumer Cyclical	Auto Manufacturers
01114.HK	Consumer Cyclical	Auto Manufacturers
02269.HK	Healthcare	Biotechnology
02018.HK	Technology	Communication Equipment
02382.HK	Technology	Electronic Components
02688.HK	Utilities	Utilities - Regulated Gas
0386.HK	Energy	Oil & Gas Integrated
0656.HK	Industrials	Conglomerates
0728.HK	Communication Services	Telecom Services
0883.HK	Energy	Oil & Gas E&P
03993.HK	Basic Materials	Other Industrial Metals & Mining
0916.HK	Utilities	Utilities - Renewable
06881.HK	Financial Services	Financial Conglomerates
0968.HK	Technology	Solar
00066.HK	Industrials	Railroads
1179.HK	Consumer Cyclical	Lodging
1088.HK	Energy	Thermal Coal
1044.HK	Consumer Defensive	Household & Personal Products
101.HK	Real Estate	Real Estate Services
1138.HK	Energy	Oil & Gas Midstream
12.HK	Real Estate	Real Estate - Diversified
1299.HK	Financial Services	Insurance - Life
1318.HK	Consumer Defensive	Household & Personal Products
1359.HK	Financial Services	Asset Management
1519.HK	Industrials	Integrated Freight & Logistics
1618.HK	Industrials	Engineering & Construction
144.HK	Industrials	Marine Shipping
1787.HK	Basic Materials	Gold
168.HK	Consumer Defensive	Beverages - Brewers
1801.HK	Healthcare	Biotechnology
177.HK	Industrials	Infrastructure Operations
1818.HK	Basic Materials	Gold
1876.HK	Consumer Defensive	Beverages - Brewers
1913.HK	Consumer Cyclical	Luxury Goods
1958.HK	Consumer Cyclical	Auto Manufacturers
1997.HK	Real Estate	Real Estate Services
2013.HK	Technology	Software - Application
2057.HK	Industrials	Integrated Freight & Logistics
2268.HK	Healthcare	Diagnostics & Research
2359.HK	Healthcare	Diagnostics & Research
2513.HK	Technology	Software - Infrastructure
2331.HK	Consumer Cyclical	Leisure
2601.HK	Financial Services	Insurance - Life
2883.HK	Energy	Oil & Gas Equipment & Services
293.HK	Industrials	Airlines
3328.HK	Financial Services	Banks - Diversified
3692.HK	Healthcare	Drug Manufacturers - Specialty & Generic
316.HK	Industrials	Marine Shipping
3898.HK	Industrials	Railroads
3998.HK	Consumer Cyclical	Apparel Manufacturing
6160.HK	Healthcare	Biotechnology
6185.HK	Healthcare	Drug Manufacturers - Specialty & Generic
6618.HK	Healthcare	Pharmaceutical Retailers
2618.HK	Industrials	Integrated Freight & Logistics
670.HK	Industrials	Airlines
2727.HK	Industrials	Specialty Industrial Machinery
6936.HK	Industrials	Integrated Freight & Logistics
7489.HK	Consumer Cyclical	Auto Manufacturers
3800.HK	Technology	Solar
9618.HK	Consumer Cyclical	Internet Retail
788.HK	Communication Services	Telecom Services
358.HK	Basic Materials	Copper
9658.HK	Consumer Cyclical	Restaurants
836.HK	Utilities	Utilities - Independent Power Producers
3969.HK	Industrials	Railroads
9863.HK	Consumer Cyclical	Auto Manufacturers
9888.HK	Communication Services	Internet Content & Information
6055.HK	Consumer Defensive	Tobacco
IART	Healthcare	Medical Devices
IBKR	Financial Services	Capital Markets
9988.HK	Consumer Cyclical	Internet Retail
ICFI	Industrials	Consulting Services
ICUI	Healthcare	Medical Instruments & Supplies
IDYA	Healthcare	Biotechnology
IESC	Industrials	Engineering & Construction
991.HK	Utilities	Utilities - Independent Power Producers
IHRT	Communication Services	Broadcasting
IMCR	Healthcare	Biotechnology
IMMX	Healthcare	Biotechnology
IMSR	Utilities	Utilities - Regulated Electric
IMVT	Healthcare	Biotechnology
INBX	Healthcare	Biotechnology
INKT	Healthcare	Biotechnology
INDB	Financial Services	Banks - Regional
INOD	Technology	Information Technology Services
INGN	Healthcare	Medical Devices
INTS	Healthcare	Biotechnology
IONS	Healthcare	Biotechnology
IPX	Basic Materials	Other Industrial Metals & Mining
INTA	Technology	Software - Application
INVA	Healthcare	Biotechnology
IPAR	Consumer Defensive	Household & Personal Products
IRON	Healthcare	Biotechnology
IRDM	Communication Services	Telecom Services
ITG	Industrials	Engineering & Construction
ITRN	Technology	Scientific & Technical Instruments
IZEA	Communication Services	Advertising Agencies
ISPR	Consumer Defensive	Tobacco
JAKK	Consumer Cyclical	Leisure
JBHT	Industrials	Integrated Freight & Logistics
JKHY	Technology	Information Technology Services
JBSS	Consumer Defensive	Packaged Foods
JYNT	Healthcare	Medical Care Facilities
KHC	Consumer Defensive	Packaged Foods
KRYS	Healthcare	Biotechnology
KTOS	Industrials	Aerospace & Defense
KNSL	Financial Services	Insurance - Property & Casualty
KYMR	Healthcare	Biotechnology
KROS	Healthcare	Biotechnology
KE	Industrials	Electrical Equipment & Parts
KRT	Consumer Cyclical	Packaging & Containers
KLRA	Healthcare	Biotechnology
LBRDK	Communication Services	Telecom Services
LCID	Consumer Cyclical	Auto Manufacturers
LAND	Real Estate	REIT - Specialty
LFMD	Healthcare	Health Information Services
LEGN	Healthcare	Biotechnology
LFUS	Technology	Electronic Components
LGVN	Healthcare	Biotechnology
LIF	Technology	Software - Application
LILAK	Communication Services	Telecom Services
LINC	Consumer Defensive	Education & Training Services
LITE	Technology	Communication Equipment
LKFT	Healthcare	Biotechnology
LMB	Industrials	Building Products & Equipment
LOPE	Consumer Defensive	Education & Training Services
LOB	Financial Services	Banks - Regional
LQDA	Healthcare	Drug Manufacturers - Specialty & Generic
LSCC	Technology	Semiconductors
LULU	Consumer Cyclical	Apparel Retail
LNT	Utilities	Utilities - Regulated Electric
LWAY	Consumer Defensive	Packaged Foods
LYFT	Technology	Software - Application
ALTR.LS	Basic Materials	Paper & Paper Products
IPR.LS	Communication Services	Broadcasting
CTT.LS	Industrials	Integrated Freight & Logistics
MRL.LS	Real Estate	REIT - Office
NVG.LS	Basic Materials	Paper & Paper Products
RENE.LS	Utilities	Utilities - Diversified
3IN.L	Financial Services	Asset Management
SON.LS	Consumer Defensive	Grocery Stores
ABDN.L	Financial Services	Asset Management
ALFA.L	Technology	Software - Application
AEP.L	Consumer Defensive	Farm Products
KRRO	Healthcare	Biotechnology
ALW.L		
AO.L	Consumer Cyclical	Specialty Retail
ASAI.L	Financial Services	Credit Services
ASLI.L		
AZN.L	Healthcare	Drug Manufacturers - General
BBOX.L		
BAG.L	Consumer Defensive	Beverages - Non-Alcoholic
BLND.L	Real Estate	REIT - Diversified
BOWL.L	Consumer Cyclical	Leisure
BPT.L	Financial Services	Asset Management
BMY.L	Communication Services	Publishing
CABP.L	Financial Services	Banks - Diversified
BWY.L	Consumer Cyclical	Residential Construction
CAR.L	Consumer Cyclical	Auto Parts
CBKD.L	Financial Services	Banks - Regional
GALP.LS	Energy	Oil & Gas Integrated
CLIG.L	Financial Services	Asset Management
CGS.L	Industrials	Specialty Industrial Machinery
CNE.L	Energy	Oil & Gas E&P
CPI.L	Industrials	Specialty Business Services
CRST.L	Consumer Cyclical	Residential Construction
DGE.L	Consumer Defensive	Beverages - Wineries & Distilleries
CTY.L		
DCC.L	Energy	Oil & Gas Refining & Marketing
DNLM.L	Consumer Cyclical	Specialty Retail
ATYM.L	Basic Materials	Copper
EDV.L	Basic Materials	Gold
AVAP.L	Industrials	Rental & Leasing Services
ENT.L	Consumer Cyclical	Gambling
EMG.L	Financial Services	Asset Management
BGEO.L	Financial Services	Banks - Regional
FAN.L	Industrials	Building Products & Equipment
FDM.L	Technology	Information Technology Services
FRES.L	Basic Materials	Other Precious Metals & Mining
FORT.L	Basic Materials	Building Materials
DPLM.L	Industrials	Industrial Distribution
FUTR.L	Communication Services	Publishing
FSG.L	Financial Services	Asset Management
GENL.L	Energy	Oil & Gas E&P
GKP.L	Energy	Oil & Gas E&P
GDWN.L	Industrials	Specialty Industrial Machinery
GROW.L		
GMS.L	Energy	Oil & Gas Equipment & Services
